211.0 126.0, 90.0 128.0
602.0 65.0, 524.0 127.0
270.0 550.0, 71.0 566.0
805.0 420.0, 533.0 571.0
434.0 190.0, 289.847 257.822
542.0 400.0, 316.692 498.367
358.0 350.0, 175.461 414.563
468.0 174.0, 329.084 245.53
292.0 160.0, 161.272 189.979
334.0 310.0, 164.023 370.136
438.0 370.0, 238.011 449.789
481.0 295.0, 297.951 385.412
565.0 345.0, 355.254 452.737
309.0 329.0, 138.475 384.112
284.0 355.0, 112.436 404.388
453.0 228.0, 294.803 306.705
322.0 270.0, 162.635 325.736
418.0 304.0, 239.033 381.406
601.0 267.0, 418.976 381.833
532.0 195.0, 383.694 285.229
