228.58656311035156 488.4356689453125,101.84228515625 474.29095458984375
364.61627197265625 526.1663818359375,70.35111999511719 573.524658203125
219.07461547851562 495.1495056152344,96.6039047241211 466.6097106933594
311.0447692871094 280.7958068847656,254.3861083984375 543.3550415039062
311.0447692871094 280.7958068847656,254.3861083984375 543.3550415039062
323.2170715332031 525.1552124023438,72.06639862060547 542.6873779296875
332.0749206542969 333.58099365234375,216.07260131835938 556.5867919921875
434.0958557128906 414.66265869140625,154.88221740722656 627.00537109375
234.66995239257812 370.1913146972656,190.92672729492188 484.8944396972656
334.8049621582031 298.9774475097656,241.05526733398438 559.1956176757812
251.88307189941406 373.95269775390625,187.9931182861328 497.03607177734375
357.24609375 363.76904296875,193.84178161621094 573.4081420898438
584.3948364257812 618.2724609375,170.90103149414062 674.5008544921875
202.766845703125 474.37884521484375,112.50730895996094 455.2908020019531
334.2472839355469 488.91839599609375,100.16123962402344 552.1450805664062
224.77911376953125 467.18670654296875,118.09484100341797 472.3206787109375
206.8491668701172 526.5756225585938,72.11937713623047 455.60540771484375
206.8491668701172 526.5756225585938,72.11937713623047 455.60540771484375
270.4493408203125 366.1040344238281,193.50982666015625 510.33978271484375
227.44102478027344 453.3473205566406,128.51182556152344 475.06842041015625
430.7541809082031 524.6768798828125,70.0483627319336 623.1539916992188
351.37335205078125 307.4234313964844,234.67318725585938 570.9780883789062
281.5711364746094 420.4081726074219,153.072998046875 516.5249633789062
329.9043884277344 411.74664306640625,158.9188690185547 551.9892578125
349.8678894042969 279.1966552734375,254.66014099121094 570.6229858398438
339.5570373535156 416.9526062011719,154.8475799560547 558.8449096679688
193.4647216796875 508.0869445800781,86.6130142211914 446.7886047363281
329.6329650878906 505.7445068359375,87.16587829589844 548.0494995117188
397.6688537597656 496.1244201660156,93.40322875976562 598.953125
241.5960235595703 468.29034423828125,116.54853057861328 485.1849060058594
336.9915466308594 525.8211059570312,71.1512451171875 552.6484985351562
192.5425567626953 452.3509521484375,129.74099731445312 448.9002685546875
389.4502258300781 459.2451171875,122.2352294921875 593.9343872070312
210.6573944091797 462.2937316894531,121.63813018798828 462.37298583984375
367.17584228515625 391.92376708984375,173.11749267578125 579.5415649414062
430.7541809082031 524.6768798828125,70.0483627319336 623.1539916992188
385.7212219238281 296.03631591796875,241.94151306152344 595.4110717773438
245.6499481201172 527.79345703125,70.7789535522461 484.75347900390625
334.8049621582031 298.9774475097656,241.05526733398438 559.1956176757812
279.7135009765625 492.04229736328125,98.46332550048828 512.1076049804688
351.37335205078125 307.4234313964844,234.67318725585938 570.9780883789062
392.91644287109375 433.6274719238281,141.5255584716797 596.5499267578125
